ogrenciNo,Cevaplar,Puan,gorseladi
32153265X2,True True True False True True False True False False True False True True True True False False True False False True True True False,60,
112345X343,True BOS BOS True True True True True True BOS True True BOS True True True True BOS True True False False False True False,64,
